hour,type,location,count
2,占用应急车道,郑州市二七区大学路中原路口,50
2,占用应急车道,郑州市管城回族区紫荆山路,50
2,占用应急车道,郑州市航空港区迎宾大道,50
2,占用应急车道,郑州市金水区花园路农业路口,50
2,占用应急车道,郑州市高新区科学大道,50
5,违法变道,郑州市中原区建设路嵩山路,50
5,违法变道,郑州市惠济区文化路北段,50
5,违法变道,郑州市经开区航海东路,50
5,违法变道,郑州市郑东新区商务内环路,50
5,违法变道,郑州市金水区经三路东风路,50
8,闯红灯,郑州市二七区大学路中原路口,50
8,闯红灯,郑州市管城回族区紫荆山路,50
8,闯红灯,郑州市航空港区迎宾大道,50
8,闯红灯,郑州市金水区花园路农业路口,50
8,闯红灯,郑州市高新区科学大道,50
11,超速行驶,郑州市中原区建设路嵩山路,50
11,超速行驶,郑州市惠济区文化路北段,50
11,超速行驶,郑州市经开区航海东路,50
11,超速行驶,郑州市郑东新区商务内环路,50
11,超速行驶,郑州市金水区经三路东风路,50
14,违法停车,郑州市二七区大学路中原路口,50
14,违法停车,郑州市管城回族区紫荆山路,50
14,违法停车,郑州市航空港区迎宾大道,50
14,违法停车,郑州市金水区花园路农业路口,50
14,违法停车,郑州市高新区科学大道,50
14,闯红灯,nan,1
15,闯红灯,nan,2
17,未系安全带,郑州市中原区建设路嵩山路,50
17,未系安全带,郑州市惠济区文化路北段,50
17,未系安全带,郑州市经开区航海东路,50
17,未系安全带,郑州市郑东新区商务内环路,50
17,未系安全带,郑州市金水区经三路东风路,50
20,酒驾,nan,1
20,酒驾,郑州市二七区大学路中原路口,50
20,酒驾,郑州市管城回族区紫荆山路,50
20,酒驾,郑州市航空港区迎宾大道,50
20,酒驾,郑州市金水区花园路农业路口,50
20,酒驾,郑州市高新区科学大道,50
23,无证驾驶,郑州市中原区建设路嵩山路,50
23,无证驾驶,郑州市惠济区文化路北段,50
23,无证驾驶,郑州市经开区航海东路,50
23,无证驾驶,郑州市郑东新区商务内环路,50
23,无证驾驶,郑州市金水区经三路东风路,50
