"violation_id","plate_number","violation_type","violation_time","fine_amount","points_deducted","road_id","device_id","violation_location","violation_img","warning_level","dispose_status","dispose_time","dispose_user","create_time"
"1","豫A1050","违法停车","16/5/2024 14:00:00","50","0","5","11","郑州市金水区花园路农业路口","/img/violation_1090.jpg","BLUE","0",,,"2/1/2026 15:25:02"
"2","豫A1010","违法停车","12/1/2024 14:00:00","50","0","1","11","郑州市金水区花园路农业路口","/img/violation_90.jpg","BLUE","0",,,"2/1/2026 15:25:02"
"3","豫A1051","未系安全带","16/5/2024 17:00:00","100","2","6","12","郑州市金水区经三路东风路","/img/violation_1091.jpg","BLUE","1","19/2/2024 20:00:00","2","2/1/2026 15:25:02"
"4","豫A1011","未系安全带","12/1/2024 17:00:00","100","2","2","12","郑州市金水区经三路东风路","/img/violation_91.jpg","BLUE","1","9/1/2024 04:00:00","2","2/1/2026 15:25:02"
"5","豫A1052","酒驾","16/5/2024 20:00:00","1300","12","1","13","郑州市二七区大学路中原路口","/img/violation_1092.jpg","ORANGE","0",,,"2/1/2026 15:25:02"
"6","豫A1012","酒驾","12/1/2024 20:00:00","1300","12","3","13","郑州市二七区大学路中原路口","/img/violation_92.jpg","ORANGE","0",,,"2/1/2026 15:25:02"
"7","豫A1053","无证驾驶","16/5/2024 23:00:00","800","12","2","14","郑州市中原区建设路嵩山路","/img/violation_1093.jpg","ORANGE","1","19/2/2024 22:00:00","4","2/1/2026 15:25:02"
"8","豫A1013","无证驾驶","12/1/2024 23:00:00","800","12","4","14","郑州市中原区建设路嵩山路","/img/violation_93.jpg","ORANGE","1","9/1/2024 06:00:00","4","2/1/2026 15:25:02"
"9","豫A1054","占用应急车道","17/5/2024 02:00:00","500","6","3","15","郑州市管城回族区紫荆山路","/img/violation_1094.jpg","YELLOW","0",,,"2/1/2026 15:25:02"
"10","豫A1014","占用应急车道","13/1/2024 02:00:00","500","6","5","15","郑州市管城回族区紫荆山路","/img/violation_94.jpg","YELLOW","0",,,"2/1/2026 15:25:02"
"11","豫A1055","违法变道","17/5/2024 05:00:00","100","2","4","16","郑州市郑东新区商务内环路","/img/violation_1095.jpg","BLUE","1","20/2/2024 00:00:00","1","2/1/2026 15:25:02"
"12","豫A1015","违法变道","13/1/2024 05:00:00","100","2","6","16","郑州市郑东新区商务内环路","/img/violation_95.jpg","BLUE","1","9/1/2024 08:00:00","1","2/1/2026 15:25:02"
"13","豫A1056","闯红灯","17/5/2024 08:00:00","300","6","5","17","郑州市高新区科学大道","/img/violation_1096.jpg","RED","0",,,"2/1/2026 15:25:02"
"14","豫A1016","闯红灯","13/1/2024 08:00:00","300","6","1","17","郑州市高新区科学大道","/img/violation_96.jpg","RED","0",,,"2/1/2026 15:25:02"
"15","豫A1057","超速行驶","17/5/2024 11:00:00","150","3","6","18","郑州市惠济区文化路北段","/img/violation_1097.jpg","BLUE","1","20/2/2024 02:00:00","3","2/1/2026 15:25:02"
"16","豫A1017","超速行驶","13/1/2024 11:00:00","150","3","2","18","郑州市惠济区文化路北段","/img/violation_97.jpg","BLUE","1","9/1/2024 10:00:00","3","2/1/2026 15:25:02"
"17","豫A1058","违法停车","17/5/2024 14:00:00","50","0","1","19","郑州市航空港区迎宾大道","/img/violation_1098.jpg","BLUE","0",,,"2/1/2026 15:25:02"
"18","豫A1018","违法停车","13/1/2024 14:00:00","50","0","3","19","郑州市航空港区迎宾大道","/img/violation_98.jpg","BLUE","0",,,"2/1/2026 15:25:02"
"19","豫A1059","未系安全带","17/5/2024 17:00:00","100","2","2","20","郑州市经开区航海东路","/img/violation_1099.jpg","BLUE","1","20/2/2024 04:00:00","5","2/1/2026 15:25:02"
"20","豫A1019","未系安全带","13/1/2024 17:00:00","100","2","4","20","郑州市经开区航海东路","/img/violation_99.jpg","BLUE","1","9/1/2024 12:00:00","5","2/1/2026 15:25:02"
"21","豫A1040","闯红灯","15/5/2024 08:00:00","300","6","1","1","郑州市金水区花园路农业路口","/img/violation_1080.jpg","RED","0",,,"2/1/2026 15:25:02"
"22","豫A1000","闯红灯","11/1/2024 08:00:00","300","6","3","1","郑州市金水区花园路农业路口","/img/violation_80.jpg","RED","0",,,"2/1/2026 15:25:02"
"23","豫A1041","超速行驶","15/5/2024 11:00:00","150","3","2","2","郑州市金水区经三路东风路","/img/violation_1081.jpg","BLUE","1","19/2/2024 10:00:00","2","2/1/2026 15:25:02"
"24","豫A1001","超速行驶","11/1/2024 11:00:00","150","3","4","2","郑州市金水区经三路东风路","/img/violation_81.jpg","BLUE","1","8/1/2024 18:00:00","2","2/1/2026 15:25:02"
"25","豫A1042","违法停车","15/5/2024 14:00:00","50","0","3","3","郑州市二七区大学路中原路口","/img/violation_1082.jpg","BLUE","0",,,"2/1/2026 15:25:02"
"26","豫A1002","违法停车","11/1/2024 14:00:00","50","0","5","3","郑州市二七区大学路中原路口","/img/violation_82.jpg","BLUE","0",,,"2/1/2026 15:25:02"
"27","豫A1043","未系安全带","15/5/2024 17:00:00","100","2","4","4","郑州市中原区建设路嵩山路","/img/violation_1083.jpg","BLUE","1","19/2/2024 12:00:00","4","2/1/2026 15:25:02"
"28","豫A1003","未系安全带","11/1/2024 17:00:00","100","2","6","4","郑州市中原区建设路嵩山路","/img/violation_83.jpg","BLUE","1","8/1/2024 20:00:00","4","2/1/2026 15:25:02"
"29","豫A1044","酒驾","15/5/2024 20:00:00","1300","12","5","5","郑州市管城回族区紫荆山路","/img/violation_1084.jpg","ORANGE","0",,,"2/1/2026 15:25:02"
"30","豫A1004","酒驾","11/1/2024 20:00:00","1300","12","1","5","郑州市管城回族区紫荆山路","/img/violation_84.jpg","ORANGE","0",,,"2/1/2026 15:25:02"
"31","豫A1045","无证驾驶","15/5/2024 23:00:00","800","12","6","6","郑州市郑东新区商务内环路","/img/violation_1085.jpg","ORANGE","1","19/2/2024 14:00:00","1","2/1/2026 15:25:02"
"32","豫A1005","无证驾驶","11/1/2024 23:00:00","800","12","2","6","郑州市郑东新区商务内环路","/img/violation_85.jpg","ORANGE","1","8/1/2024 22:00:00","1","2/1/2026 15:25:02"
"33","豫A1046","占用应急车道","16/5/2024 02:00:00","500","6","1","7","郑州市高新区科学大道","/img/violation_1086.jpg","YELLOW","0",,,"2/1/2026 15:25:02"
"34","豫A1006","占用应急车道","12/1/2024 02:00:00","500","6","3","7","郑州市高新区科学大道","/img/violation_86.jpg","YELLOW","0",,,"2/1/2026 15:25:02"
"35","豫A1047","违法变道","16/5/2024 05:00:00","100","2","2","8","郑州市惠济区文化路北段","/img/violation_1087.jpg","BLUE","1","19/2/2024 16:00:00","3","2/1/2026 15:25:02"
"36","豫A1007","违法变道","12/1/2024 05:00:00","100","2","4","8","郑州市惠济区文化路北段","/img/violation_87.jpg","BLUE","1","9/1/2024 00:00:00","3","2/1/2026 15:25:02"
"37","豫A1048","闯红灯","16/5/2024 08:00:00","300","6","3","9","郑州市航空港区迎宾大道","/img/violation_1088.jpg","RED","0",,,"2/1/2026 15:25:02"
"38","豫A1008","闯红灯","12/1/2024 08:00:00","300","6","5","9","郑州市航空港区迎宾大道","/img/violation_88.jpg","RED","0",,,"2/1/2026 15:25:02"
"39","豫A1049","超速行驶","16/5/2024 11:00:00","150","3","4","10","郑州市经开区航海东路","/img/violation_1089.jpg","BLUE","1","19/2/2024 18:00:00","5","2/1/2026 15:25:02"
"40","豫A1009","超速行驶","12/1/2024 11:00:00","150","3","6","10","郑州市经开区航海东路","/img/violation_89.jpg","BLUE","1","9/1/2024 02:00:00","5","2/1/2026 15:25:02"
"41","豫A1030","占用应急车道","14/5/2024 02:00:00","500","6","3","11","郑州市金水区花园路农业路口","/img/violation_1070.jpg","YELLOW","0",,,"2/1/2026 15:25:02"
"42","豫A1070","占用应急车道","10/1/2024 02:00:00","500","6","5","11","郑州市金水区花园路农业路口","/img/violation_70.jpg","YELLOW","0",,,"2/1/2026 15:25:02"
"43","豫A1031","违法变道","14/5/2024 05:00:00","100","2","4","12","郑州市金水区经三路东风路","/img/violation_1071.jpg","BLUE","1","19/2/2024 00:00:00","2","2/1/2026 15:25:02"
"44","豫A1071","违法变道","10/1/2024 05:00:00","100","2","6","12","郑州市金水区经三路东风路","/img/violation_71.jpg","BLUE","1","8/1/2024 08:00:00","2","2/1/2026 15:25:02"
"45","豫A1032","闯红灯","14/5/2024 08:00:00","300","6","5","13","郑州市二七区大学路中原路口","/img/violation_1072.jpg","RED","0",,,"2/1/2026 15:25:02"
"46","豫A1072","闯红灯","10/1/2024 08:00:00","300","6","1","13","郑州市二七区大学路中原路口","/img/violation_72.jpg","RED","0",,,"2/1/2026 15:25:02"
"47","豫A1033","超速行驶","14/5/2024 11:00:00","150","3","6","14","郑州市中原区建设路嵩山路","/img/violation_1073.jpg","BLUE","1","19/2/2024 02:00:00","4","2/1/2026 15:25:02"
"48","豫A1073","超速行驶","10/1/2024 11:00:00","150","3","2","14","郑州市中原区建设路嵩山路","/img/violation_73.jpg","BLUE","1","8/1/2024 10:00:00","4","2/1/2026 15:25:02"
"49","豫A1034","违法停车","14/5/2024 14:00:00","50","0","1","15","郑州市管城回族区紫荆山路","/img/violation_1074.jpg","BLUE","0",,,"2/1/2026 15:25:02"
"50","豫A1074","违法停车","10/1/2024 14:00:00","50","0","3","15","郑州市管城回族区紫荆山路","/img/violation_74.jpg","BLUE","0",,,"2/1/2026 15:25:02"
"51","豫A1035","未系安全带","14/5/2024 17:00:00","100","2","2","16","郑州市郑东新区商务内环路","/img/violation_1075.jpg","BLUE","1","19/2/2024 04:00:00","1","2/1/2026 15:25:02"
"52","豫A1075","未系安全带","10/1/2024 17:00:00","100","2","4","16","郑州市郑东新区商务内环路","/img/violation_75.jpg","BLUE","1","8/1/2024 12:00:00","1","2/1/2026 15:25:02"
"53","豫A1036","酒驾","14/5/2024 20:00:00","1300","12","3","17","郑州市高新区科学大道","/img/violation_1076.jpg","ORANGE","0",,,"2/1/2026 15:25:02"
"54","豫A1076","酒驾","10/1/2024 20:00:00","1300","12","5","17","郑州市高新区科学大道","/img/violation_76.jpg","ORANGE","0",,,"2/1/2026 15:25:02"
